year,week,sentiment
2017,39,26.207210497835504
2017,38,25.57814303751805
2017,35,33.57449494949494
2017,34,45.57252675565175
2017,37,31.24764646464646
2017,36,21.992552849927854
2017,31,39.95533034673661
2017,30,13.139995941558444
2017,33,47.76302128427127
2017,32,55.09873917748918
2017,48,30.075797709235225
2017,44,43.20845658970659
2017,45,32.61313011063011
2017,46,27.942050865800873
2017,47,23.471468253968258
2017,40,27.51068407287157
2017,41,33.42868145743147
2017,42,38.64738636363636
2017,43,29.553742507492498
